ЗелАО,,294,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,ОФП,ОФП,помещение,Спортзал,Крюково,,Фитнес-клуб ФизКульт,ДСТГМ,30,2,6,180,165,4950,3088800,2554200,18720,15480,52,43,,,,,
ЗелАО,,295,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,ОФП,ОФП,помещение,Спортзал,Савелки,,Фитнес-клуб ALEX FITNESS,ДСТГМ,30,2,7,210,165,4950,3603600,2979900,21840,18060,52,43,,,,,
ЗелАО,,296,ФИЗИЧЕСКАЯ АКТИВНОСТЬ*  ,Гимнастика,Гимнастика,помещение,Спортзал,Савелки,"г. Зеленоград, корпус 309",ГБУ РЦДИМФК,ДТСЗН,8,1,1,8,165,1320,68640,56760,416,344,52,43,,,,,
ЗелАО,,297,ФИЗИЧЕСКАЯ АКТИВНОСТЬ ,Гимнастика,Гимнастика,Помещение и улица,"Спортивный зал, стадион",Крюково,,ГБОУ Школа № 1194,ДОГМ,15,1,6,90,165,2475,772200,638550,4680,3870,52,43,,,,,
ЗелАО,,298,ФИЗИЧЕСКАЯ АКТИВНОСТЬ ,Гимнастика,Гимнастика,Помещение и улица,"Спортивный зал, стадион",Матушкино,,ГБОУ Школа № 618,ДОГМ,20,2,5,100,165,3300,1716000,1419000,10400,8600,52,43,,,,,
ЗелАО,,299,ТВОРЧЕСТВО**                                             ,Танцы,Танцы,помещение,Хореографический зал,Крюково,,ГБОУ Школа № 1194,ДОГМ,30,1,6,180,165,4950,1544400,1277100,9360,7740,52,43,,,,,
ЗелАО,,300,ТВОРЧЕСТВО**                                             ,Танцы,Танцы,помещение,Спортзал,Силино,,ГБОУ Школа № 1692,ДОГМ,30,2,2,60,165,4950,1029600,851400,6240,5160,52,43,,,,,
ЗелАО,,301,ТВОРЧЕСТВО**                                             ,Танцы,Танцы,помещение,Актовый зал,Матушкино,,ГБОУ Школа № 842,ДОГМ,30,1,3,90,165,4950,772200,638550,4680,3870,52,43,,,,,
ЗелАО,,302,ТВОРЧЕСТВО**                                             ,Танцы,Танцы,помещение,Хореографический зал,Силино,,ГБОУ Школа № 852,ДОГМ,30,1,6,180,165,4950,1544400,1277100,9360,7740,52,43,,,,,
ЗелАО,,303,ТВОРЧЕСТВО**                                             ,Танцы,Танцы,помещение,Актовый зал,Старое Крюково,"г. Зеленоград, пл. Колумба, д.1","ГБОУ ДО города Москвы ""Зеленоградский дворец творчества детей и молодежи""",ДОГМ,30,2,4,120,165,4950,2059200,1702800,12480,10320,52,43,,,,,
ЗелАО,,304,ТВОРЧЕСТВО                                             ,Танцы,Танцы,помещение,Спортзал,Савелки,"г. Зеленоград, Озерная аллея, дом 8","ФК ""Зебра Зеленоград""",ООО,30,2,3,90,165,4950,1544400,1277100,9360,7740,52,43,,,,,
ЗелАО,,305,ТВОРЧЕСТВО                                             ,Танцы,Танцы,помещение,Спортзал,Савелки,"г. Зеленоград, Озерная аллея, дом 8","ФК ""Зебра Зеленоград""",ООО,30,2,3,90,165,4950,1544400,1277100,9360,7740,52,43,,,,,
ЗелАО,,306,ТВОРЧЕСТВО                                             ,Танцы,Танцы,помещение,Спортзал,Савелки,"г. Зеленоград, Озерная аллея, дом 8","ФК ""Зебра Зеленоград""",ООО,30,2,3,90,165,4950,1544400,1277100,9360,7740,52,43,,,,,
ЗелАО,,307,ТВОРЧЕСТВО**                                             ,Пение,Пение,помещение,Актовый зал,Силино,,ГБОУ Школа № 852,ДОГМ,30,2,1,30,165,4950,514800,425700,3120,2580,52,43,,,,,
ЗелАО,,308,ТВОРЧЕСТВО**                                             ,Пение,Пение,помещение,Актовый зал,Матушкино,,ГБОУ Школа № 1353,ДОГМ,30,1,1,30,165,4950,257400,212850,1560,1290,52,43,,,,,
ЗелАО,,309,ТВОРЧЕСТВО**                                             ,Пение,Пение,помещение,Актовый зал,Матушкино,,ГБОУ Школа № 842,ДОГМ,20,1,1,20,165,3300,171600,141900,1040,860,52,43,,,,,
ЗелАО,,310,ТВОРЧЕСТВО**                                             ,Пение,Пение,помещение,Актовый зал,Старое Крюково,"г. Зеленоград, пл. Колумба, д.1","ГБОУ ДО города Москвы ""Зеленоградский дворец творчества детей и молодежи""",ДОГМ,20,2,1,20,165,3300,343200,283800,2080,1720,52,43,,,,,
ЗелАО,,311,ТВОРЧЕСТВО**                                             ,Пение,Пение,помещение,Актовый зал,Старое Крюково,"г. Зеленоград, пл. Колумба, д.1","ГБОУ ДО города Москвы ""Зеленоградский дворец творчества детей и молодежи""",ДОГМ,20,2,1,20,165,3300,343200,283800,2080,1720,52,43,,,,,
ЗелАО,,312,ТВОРЧЕСТВО**                                             ,Пение,Пение,помещение,Учебный класс,Савелки,,ГБОУ Школа № 609,ДОГМ,20,1,1,20,165,3300,171600,141900,1040,860,52,43,,,,,
ЗелАО,,313,ТВОРЧЕСТВО**                                             ,Пение,Пение,помещение,"Спортзал, актовый зал",Савелки,,ГБОУ Школа № 854,ДОГМ,20,2,1,20,165,3300,343200,283800,2080,1720,52,43,,,,,
ЗелАО,,314,ТВОРЧЕСТВО**                                             ,Пение,Пение,помещение,Кабинет,Крюково,,ГБОУ Школа № 2045,ДОГМ,20,2,1,20,165,3300,343200,283800,2080,1720,52,43,,,,,
ЗелАО,,315,ТВОРЧЕСТВО**                                             ,Пение,Пение,помещение,Актовый зал,Крюково,,ГБОУ Школа № 1150,ДОГМ,20,2,1,20,165,3300,343200,283800,2080,1720,52,43,,,,,
ЗелАО,,316,ТВОРЧЕСТВО**                                             ,Пение,Пение,помещение,"Кабинет музыки, актовый зал",Старое Крюково,,ГБОУ Школа № 719,ДОГМ,20,2,1,20,165,3300,343200,283800,2080,1720,52,43,,,,,
ЗелАО,,317,ТВОРЧЕСТВО**                                             ,Пение,Пение,помещение,Кабинет музыки,Старое Крюково,,ГБОУ Школа № 853,ДОГМ,20,2,2,40,165,3300,686400,567600,4160,3440,52,43,,,,,
ЗелАО,,318,ТВОРЧЕСТВО**                                             ,Пение,Пение,помещение,Школьный кабинет,Крюково,,ГБОУ Школа № 1912,ДОГМ,20,2,2,40,165,3300,686400,567600,4160,3440,52,43,,,,,
ЗелАО,,319,ТВОРЧЕСТВО**                                             ,Рисование,Рисование,помещение,Аудитория,Старое Крюково,"г. Зеленоград, пл. Колумба, д.1","ГБОУ ДО города Москвы ""Зеленоградский дворец творчества детей и молодежи""",ДОГМ,25,2,4,100,165,4125,1716000,1419000,10400,8600,52,43,,,,,
ЗелАО,,320,ТВОРЧЕСТВО**                                             ,Рисование,Рисование,помещение,Аудитория,Старое Крюково,"г. Зеленоград, пл. Колумба, д.1","ГБОУ ДО города Москвы ""Зеленоградский дворец творчества детей и молодежи""",ДОГМ,25,2,4,100,165,4125,1716000,1419000,10400,8600,52,43,,,,,
